Done	0		Unknow error
Done	1		Cannot open world
Done	1-1		Cannot create world
Done	1-2		Cannot load world
		1-3		Cannot join world
		1-3-0	World not found
		1-3-1	World connection lost
		1-4		Cannot join server
		1-4-0	Server not found
		1-4-1	Forbidden
		1-4-2	Player is banned from the server
		2		User error
		2-0		User not found
		2-0-0	Banned user
		2-1		Invalid credentials
		2-1-1	Expired credentials
		2-2		Kicked user
		3		World error
		3-0		Corrupt world
		3-1		Parsing error on world datas
		3-2		Generation error
		3-2-1	Invaid block
		3-3		Resources package error
		3-3-0	Resources package not found
		3-3-1	Parsing error on resources package
		3-3-2	Missing properties on resources package
		3-4		Rendering error
